id	label	difficulty	eval_hint	text	notes
ex_0101	0	1	pytest	Я написал функцию, которая должна возвращать количество уникальных элементов в списке, но сейчас иногда она их возвращает неверно. Исправь и покажи финальный код функции count_unique(items).	код: простая функция + тесты
ex_0102	0	2	pytest	Сделал функцию normalize_email(email), она должна приводить email к нижнему регистру и убирать пробелы по краям. Она падает на None. Скорректируй так функцию, чтобы она на None возвращала пустую строку.	код: обработка edge case
ex_0103	0	2	pytest	Нужно реализовать функцию is_palindrome(s): игнорировать пробелы и регистр. Пример: 'А роза упала на лапу Азора' → True.	код: строковые преобразования
ex_0104	0	3	pytest	Есть баг в коде ниже: иногда теряются элементы. Найди причину и исправь.\n\ndef dedup(seq):\n    seen=set()\n    return [x for x in seq if (x in seen) or seen.add(x)]\n	код: исправление логики
ex_0105	0	2	pytest	Реализуй функцию safe_div(a, b), которая возвращает None при делении на ноль, иначе a/b. Учитывай, что a и b могут быть строками с числами.	код: приведение типов + исключения
ex_0106	0	3	pytest	Напиши функцию merge_sorted(a, b), которая сливает два отсортированных списка в один отсортированный за O(n). Без sort() в конце.	код: алгоритм слияния
ex_0107	0	2	pytest	Нужно реализовать простую LRU-кеш-обёртку для функции f(x). Ограничение размера кеша — 3. Дай код на Python.	код: структура данных/кеш
ex_0108	0	1	pytest	Функция parse_int(s) должна возвращать int из строки или None, если это не число. Сейчас бросает исключение. Сделай безопасно.	код: парсинг
ex_0109	0	3	pytest	Есть функция, которая должна группировать список слов по первой букве (в нижнем регистре) и возвращать dict. Напиши корректную реализацию group_by_first_letter(words).	код: dict + нормализация
ex_0110	0	2	pytest	Исправь функцию, чтобы она не меняла входной список inplace.\n\ndef add_marker(items):\n    for i in range(len(items)):\n        items[i] += '!'\n    return items\n	код: мутабельность/копирование

ex_0201	1	1	sql_result	Есть таблицы users(id, city) и orders(id, user_id, total, created_at). Нужен запрос: по каждому городу посчитать суммарную выручку за 2025 год, вывести топ-10 городов по выручке.	запрос к БД: агрегация по городу
ex_0202	1	2	sql_result	Таблицы products(id, category) и sales(id, product_id, qty, price, sold_at). Нужно получить категорию с максимальной выручкой за последний месяц (qty*price).	запрос к БД: join + агрегация
ex_0203	1	2	sql_result	Таблица events(user_id, event_name, ts). Посчитай DAU: число уникальных user_id по дням за последние 14 дней.	запрос к БД: уникальные + group by дата
ex_0204	1	3	sql_result	Таблицы employees(id, department) и salaries(employee_id, amount, effective_from). Нужен запрос: текущая зарплата каждого сотрудника (последняя по effective_from).	запрос к БД: оконные функции/подзапрос
ex_0205	1	2	sql_result	Таблица orders(id, user_id, total, status). Найди пользователей, у которых средний чек по статусу 'paid' больше 5000, и количество таких заказов ≥ 3.	запрос к БД: HAVING + условия
ex_0206	1	1	sql_result	Таблица clicks(user_id, campaign_id, ts). Сколько уникальных пользователей кликнули по каждой кампании? Отсортировать по убыванию.	запрос к БД: count distinct
ex_0207	1	3	sql_result	Таблицы tickets(id, created_at, resolved_at). Посчитай медианное время решения (resolved_at-created_at) по неделям за последние 8 недель.	запрос к БД: медиана/percentile
ex_0208	1	2	sql_result	Таблица sessions(user_id, started_at, ended_at). Найди пользователей, у которых было более 2 сессий в один и тот же день.	запрос к БД: группировка по дню
ex_0209	1	2	sql_result	Таблица payments(user_id, amount, paid_at). Посчитай накопительный итог платежей по каждому пользователю по времени (running total).	запрос к БД: cumulative sum
ex_0210	1	1	sql_result	Таблицы posts(id, author_id) и likes(post_id, user_id). Выведи топ-5 постов по количеству лайков.	запрос к БД: join + top N

ex_0301	2	1	pandas_value_check	Есть таблица с колонками date, user_id, revenue. Нужно посчитать выручку по дням и 7-дневное скользящее среднее.	анализ данных: агрегация + rolling
ex_0302	2	2	pandas_value_check	Дан датасет с колонками city, age, spent. Нужно отфильтровать записи с spent<0, затем посчитать медиану spent по city.	анализ данных: чистка + group median
ex_0303	2	2	pandas_value_check	Есть таблица (product, category, price). Нужно найти по каждой category самый дорогой product и его price.	анализ данных: groupby + idxmax
ex_0304	2	3	pandas_value_check	В таблице есть user_id, event, ts. Нужно построить воронку: доля пользователей, дошедших до events ['visit','signup','pay'] (в этом порядке).	анализ данных: воронка по событиям
ex_0305	2	1	pandas_value_check	Есть колонка text с отзывами. Нужно посчитать долю пустых/NaN значений и вывести число строк всего.	анализ данных: missing values
ex_0306	2	2	pandas_value_check	Есть таблица orders(user_id, total). Нужно посчитать перцентили total: p50, p90, p95.	анализ данных: quantiles
ex_0307	2	3	pandas_value_check	Дан датасет с колонками country, device, revenue. Нужно сделать сводную таблицу: строки=country, колонки=device, значения=sum(revenue).	анализ данных: pivot table
ex_0308	2	2	pandas_value_check	Есть таблица с колонками user_id, cohort_month, revenue. Нужно посчитать retention по когортам по месяцам (матрица).	анализ данных: когорты/ретеншн
ex_0309	2	1	pandas_value_check	Есть колонка amount (числа в строках, иногда '—' или ''). Нужно привести к числу, некорректные сделать NaN, посчитать среднее.	анализ данных: приведение типов
ex_0310	2	3	pandas_value_check	Таблица calls(agent_id, duration_sec, resolved). Нужно посчитать по каждому agent_id: средняя длительность и доля resolved=True.	анализ данных: агрегаты + доля

ex_0401	3	1	numeric_tolerance	Посчитай значение выражения (3.5^2 - 1.2^2) / (3.5 - 1.2). Покажи преобразование и итоговое число.	математика: алгебра + вычисление
