id	required_agents	difficulty	eval_hint	text	notes
set_0001	0,1,2	2	multi_check	Нужно проанализировать данные о продажах за последний квартал. Сначала напиши SQL-запрос для извлечения данных из таблицы sales (поля: product_id, amount, date), затем загрузи результат в pandas и посчитай топ-5 товаров по выручке. Финально выведи результат в виде Python-функции get_top_products().	комбо: SQL + Pandas + Code
set_0002	3,8	1	numeric_tolerance	Инвестор вложил 500 000 рублей под 12% годовых на 3 года с ежегодной капитализацией. Используя формулу сложного процента, посчитай итоговую сумму. Затем вычисли ROI в процентах.	комбо: Math + Finance
set_0003	0,4,5,6	3	format_check	Создай техническое задание для системы автоматического парсинга email-уведомлений. ТЗ должно включать: 1) требования к извлечению структурированных данных (имя, email, дата, сумма) в JSON, 2) краткое резюме функциональности в 5 пунктах, 3) пример Python-кода для парсинга одного письма.	комбо: Requirements + Extraction + Summary + Code
ex_0001	0,4	1	код + JSON извлечение	Напиши скрипт, который парсит логи веб-сервера и извлекает из каждой записи IP-адрес, timestamp и статус-код в структурированный формат.	Нужен Code для парсинга + Structured Extraction для JSON-формата.
ex_0002	2,5	1	анализ + саммари	Проанализируй продажи по регионам за квартал и составь краткое резюме с ключевыми выводами.	Data Analysis для расчётов + Summarization для краткого вывода.
ex_0003	3,8	1	формулы + финансы	Рассчитай ежемесячный платёж по ипотеке на 5 млн под 12% годовых на 20 лет, используя формулу аннуитета.	Math для формул + Finance для финансовых расчётов.
ex_0004	1,2	1	SQL + pandas	Выгрузи данные о заказах за последний месяц из базы и построй группировку по категориям товаров.	SQL для выгрузки + Data Analysis для группировки.
ex_0005	6,7	1	ТЗ + стиль	Составь техническое задание на новый модуль авторизации и переформулируй его для презентации заказчику в дружелюбном тоне.	Requirements для ТЗ + Rewrite для адаптации стиля.
ex_0006	0,2,5	2	код + анализ + резюме	Напиши скрипт для обработки CSV с метриками, посчитай средние значения по каждому показателю и сформируй краткий отчёт.	Code для скрипта, Data Analysis для расчётов, Summarization для отчёта.
ex_0007	1,4,5	2	SQL + JSON + саммари	Получи список клиентов с их покупками, преобразуй в JSON и подготовь краткую аналитическую записку.	SQL для данных, Structured Extraction для JSON, Summarization для записки.
ex_0008	3,4,8	2	мат + JSON + финансы	Реши задачу оптимизации портфеля из трёх активов, оформи результат в структурированном виде и рассчитай ожидаемую доходность.	Math для оптимизации, Structured Extraction для структуры, Finance для доходности.
